id;kommune;vejnr;husnr;husbog;husx;husy;vejx;vejy;husGx;husGy;adresse;kf;linienr;beregning;laengde_med_kf;laengde_uden_kf
37000500;400;960;9; ;866596;6126788;866601;6126764;14,756;55,1515;Eskesvej 9;0;45;1;54965;53334
37000500;400;960;12; ;866465;6126736;866481;6126741;14,7538;55,1512;Eskesvej 12;0;46;1;54965;53334
37000500;400;960;8; ;866347;6126847;866449;6126876;14,7521;55,1523;Eskesvej 8;0;47;1;54965;53334
37000500;400;960;6; ;866418;6127017;866437;6127012;14,7535;55,1537;Eskesvej 6;0;48;1;54965;53334
37000500;400;960;7; ;866459;6127088;866441;6127068;14,7542;55,1543;Eskesvej 7;0;49;1;54965;53334
37000500;400;960;1; ;866526;6127300;866430;6127074;14,7555;55,1562;Eskesvej 1;0;50;1;54965;53334
37000500;400;960;2; ;866278;6127000;866262;6127087;14,7513;55,1537;Eskesvej 2;0;51;1;54965;53334
37000500;400;6;10; ;865524;6126862;865449;6126888;14,7393;55,153;Aabyvej 10;0;52;1;54965;53334
37000500;400;6;14; ;865669;6127361;865632;6127374;14,7422;55,1574;Aabyvej 14;0;53;1;54965;53334
37000500;400;711;9; ;864957;6127592;864975;6127529;14,7314;55,1599;Dalslundevej 9;0;54;1;54965;53334
37000500;400;6;9; ;865666;6127721;865690;6127721;14,7426;55,1606;Aabyvej 9;0;55;1;54965;53334
37000500;400;6;23; ;865551;6127940;865655;6127959;14,7411;55,1626;Aabyvej 23;0;56;1;54965;53334
37000500;400;4548;9; ;866345;6128200;866343;6128241;14,7539;55,1644;Tornbyvej 9;0;57;1;54965;53334
37000500;400;429;15; ;867335;6128298;867219;6128327;14,7694;55,1645;Bregneshavevej 15;0;58;1;54965;53334
37000500;400;4548;7; ;867471;6127946;867489;6128003;14,7711;55,1613;Tornbyvej 7;0;59;1;54965;53334
37000500;400;4548;6; ;867592;6128047;867567;6127977;14,7731;55,1621;Tornbyvej 6;0;60;1;54965;53334
37000500;400;4548;3; ;867700;6127707;867661;6127712;14,7744;55,1589;Tornbyvej 3;0;61;1;54965;53334
37000500;400;4548;1; ;868166;6127267;868172;6127269;14,7811;55,1547;Tornbyvej 1;0;62;1;54965;53334
37000500;400;2256;10; ;867901;6127176;867857;6127350;14,7768;55,1541;KyndegÂrdsvej 10;0;63;1;54965;53334
37000500;400;2256;13; ;867301;6127314;867426;6127106;14,7676;55,1557;KyndegÂrdsvej 13;0;64;1;54965;53334
37000500;400;2256;15; ;867383;6127462;867547;6127181;14,7691;55,157;KyndegÂrdsvej 15;0;65;1;54965;53334
37000500;400;4659;9; ;867565;6127103;867592;6127114;14,7715;55,1536;Vallevadsvej 9;0;66;1;54965;53334
37000500;400;4659;2; ;867754;6126586;867699;6126571;14,7738;55,1489;Vallevadsvej 2;0;67;1;54965;53334
37000500;400;4659;5; ;867671;6126386;867694;6126378;14,7722;55,1472;Vallevadsvej 5;0;68;1;54965;53334
37000500;400;4659;3; ;867654;6126335;867677;6126327;14,7719;55,1467;Vallevadsvej 3;0;69;1;54965;53334
37000500;400;4659;1; ;867366;6126420;867675;6126321;14,7675;55,1477;Vallevadsvej 1;0;70;1;54965;53334
37000500;400;453;1; ;867735;6126306;867757;6126283;14,7731;55,1464;BrogÂrdsvej 1;1;71;1;54965;53334
37000500;400;2952;60; ;867760;6126255;867743;6126268;14,7734;55,1459;Nyker Hovedgade 60;0;72;1;54965;53334
37000500;400;453;3; ;867824;6126500;867887;6126379;14,7748;55,1481;BrogÂrdsvej 3;0;73;1;54965;53334
37000500;400;453;2; ;867958;6126365;867933;6126403;14,7767;55,1468;BrogÂrdsvej 2;0;74;1;54965;53334
